                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6773,                 4.4563,                 1.5178,                0.01353,                0.27708,                0.03698,                0.01175,                 1.9851,                 3.9001,                 1.5211,              3.636e-05,              3.636e-05,              3.636e-05
                      2,                 1.5715,                 4.2477,                 1.4497,                0.92558,                0.16875,                0.18213,                0.14293,                0.89181,                  2.997,                0.93985,             8.1648e-05,             8.1648e-05,             8.1648e-05
                      3,                0.80217,                 1.7281,                 1.1203,                0.92136,                0.39375,                0.57311,                0.48766,                0.59549,                 1.1711,                0.85838,             0.00012676,             0.00012676,             0.00012676
                      4,                0.66926,                0.96985,                 1.0197,                0.76785,                0.58072,                0.53129,                 0.4534,                0.60757,                 2.9129,                0.90299,             0.00017168,             0.00017168,             0.00017168
                      5,                0.78009,                0.84854,                  1.005,                0.54023,                0.83333,                0.71316,                0.54444,                0.79643,                 2.3034,                0.93292,             0.00021643,             0.00021643,             0.00021643
                      6,                0.63268,                0.77752,                0.99528,                0.78992,                0.69376,                0.70209,                0.59931,                0.55619,                 1.5188,                0.86133,               0.000261,               0.000261,               0.000261
                      7,                  0.605,                0.65892,                  0.973,                0.71857,                0.62708,                0.55238,                0.48877,                0.61931,                 2.4126,                0.89456,             0.00030539,             0.00030539,             0.00030539
                      8,                0.62053,                0.65389,                0.97018,                0.33112,                0.69167,                0.48852,                0.42808,                 0.6135,                 10.001,                0.88134,              0.0003496,              0.0003496,              0.0003496
                      9,                0.62318,                0.57919,                0.96013,                 0.4041,                0.58542,                0.37355,                0.31738,                0.59246,                 21.228,                0.88157,             0.00039362,             0.00039362,             0.00039362
                     10,                0.64999,                0.60391,                0.96496,                0.08561,                0.26875,                0.11992,                0.10018,                 0.7815,                 88.851,                0.96755,             0.00043747,             0.00043747,             0.00043747
                     11,                0.60117,                0.55606,                 0.9418,                 0.0624,                0.73917,                0.07431,                0.06328,                0.73922,                    inf,                 1.0202,             0.00048114,             0.00048114,             0.00048114
                     12,                0.63349,                0.59157,                0.94935,                0.09574,                   0.28,                0.09556,                0.08225,                0.87146,                 87.416,                 1.0767,             0.00052463,             0.00052463,             0.00052463
                     13,                 0.6849,                 0.5797,                0.94722,                0.34591,                0.35542,                0.21384,                0.17486,                0.96665,                   10.8,                 1.1184,             0.00056794,             0.00056794,             0.00056794
                     14,                 0.7028,                0.63533,                0.97643,                 0.2048,                 0.0375,                0.00269,                0.00241,                 2.1491,                    inf,                 4.0707,             0.00061107,             0.00061107,             0.00061107
                     15,                0.68369,                0.60227,                0.96062,                 0.2048,                 0.0375,                0.00269,                0.00241,                 2.7718,                    inf,                 7.5328,             0.00065401,             0.00065401,             0.00065401
                     16,                0.62745,                0.57071,                0.95881,                0.00343,                 0.0125,                 0.0018,                0.00097,                 2.6401,                    inf,                 3.5455,             0.00069678,             0.00069678,             0.00069678
                     17,                0.63508,                0.54476,                0.95314,                0.00026,                    0.1,                0.00019,                0.00013,                 2.9117,                    inf,                 4.3227,             0.00073937,             0.00073937,             0.00073937
                     18,                0.68579,                0.56917,                0.94696,                0.00048,                    0.2,                0.00082,                0.00032,                 2.9297,                    inf,                 4.8913,             0.00078178,             0.00078178,             0.00078178
                     19,                0.68005,                0.55601,                 0.9385,                0.18599,                0.24375,                0.10532,                0.08774,                 1.5897,                    inf,                 2.2288,             0.00082401,             0.00082401,             0.00082401
                     20,                0.69144,                0.55403,                0.95667,                0.20434,                  0.295,                0.14084,                0.12814,                 1.5204,                    inf,                 1.7462,             0.00086606,             0.00086606,             0.00086606
                     21,                0.66971,                0.57145,                0.95696,                0.22691,                0.20125,                0.16087,                0.12342,                 1.5816,                    inf,                  1.546,               0.000873,               0.000873,               0.000873
                     22,                0.67162,                0.56235,                0.95496,                0.20547,                0.36417,                0.15683,                0.12695,                 1.4906,                    inf,                 1.6615,               0.000873,               0.000873,               0.000873
                     23,                0.64868,                0.53418,                0.93706,                 0.2034,                  0.545,                0.18766,                0.15856,                0.97421,                    inf,                 1.0937,              0.0008712,              0.0008712,              0.0008712
                     24,                0.65154,                0.54649,                0.93772,                0.09376,                 0.6025,                0.23928,                0.19808,                0.98148,                 106.28,                 1.0754,              0.0008694,              0.0008694,              0.0008694
                     25,                0.61008,                0.53887,                0.94582,                0.47375,                0.56602,                0.32939,                0.25398,                 1.0279,                 144.75,                 1.1207,              0.0008676,              0.0008676,              0.0008676
                     26,                0.66016,                0.55505,                0.94336,                0.55898,                0.59555,                0.27733,                 0.2222,                0.81634,                    inf,                0.95911,              0.0008658,              0.0008658,              0.0008658
                     27,                0.63227,                0.58436,                0.94164,                0.01338,                   0.35,                 0.0128,                0.01051,                0.83338,                    inf,                 1.0285,               0.000864,               0.000864,               0.000864
                     28,                0.64968,                0.52129,                0.93052,                0.06829,                 0.3125,                0.05192,                0.04613,                 1.1905,                    inf,                 1.7196,              0.0008622,              0.0008622,              0.0008622
                     29,                  0.662,                0.56598,                0.95851,                0.01915,                0.16875,                0.01282,                0.01113,                 1.7249,                    inf,                 18.451,              0.0008604,              0.0008604,              0.0008604
                     30,                0.59654,                0.57756,                0.93253,                0.07787,                0.37917,                0.06121,                0.05135,                 1.7053,                    inf,                 18.898,             0.00085861,             0.00085861,             0.00085861
                     31,                0.59197,                 0.4978,                0.91409,                0.07237,                0.34375,                0.06121,                0.05473,                 1.5114,                    inf,                 16.658,             0.00085681,             0.00085681,             0.00085681
                     32,                 0.6294,                0.56128,                 0.9366,                0.42044,                0.35032,                0.01926,                0.01701,                0.89136,                    inf,                 1.6778,             0.00085501,             0.00085501,             0.00085501
