                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67326,                0.52704,                 1.0602,                0.10271,                0.08333,                0.03848,                0.02649,                 2.8338,                 7.9627,                 4.7745,              0.0013328,              0.0013328,              0.0013328
                     37,                0.64984,                0.52697,                  1.054,                0.52264,                0.29468,                0.14824,                0.10466,                 1.1033,                 4.1665,                 1.5549,                0.00133,                0.00133,                0.00133
                     38,                0.64813,                0.55075,                 1.0469,                0.60234,                0.44162,                0.24508,                0.15743,                 1.1894,                 3.1593,                 1.7249,              0.0013271,              0.0013271,              0.0013271
                     39,                0.62954,                0.56046,                 1.0372,                0.11094,                0.35417,                0.10313,                0.06517,                 1.3262,                 11.597,                 2.0158,              0.0013243,              0.0013243,              0.0013243
                     40,                0.62556,                0.50446,                 1.0257,                0.61918,                  0.375,                0.28056,                0.23968,                0.64124,                 3.6914,                 1.1439,              0.0013215,              0.0013215,              0.0013215
                     41,                0.59301,                0.49585,                 1.0514,                0.25139,                0.27083,                0.21417,                0.15715,                0.95853,                 4.1461,                  1.502,              0.0013187,              0.0013187,              0.0013187
                     42,                0.62303,                0.53518,                 1.0476,                0.35422,                0.13542,                0.01694,                0.00503,                 2.1641,                  6.373,                 2.8838,              0.0013158,              0.0013158,              0.0013158
                     43,                 0.6396,                0.49753,                 1.0523,                 0.3673,                 0.3125,                0.02476,                0.01294,                 1.8617,                 6.7313,                 2.5439,               0.001313,               0.001313,               0.001313
                     44,                 0.6142,                0.51315,                 1.0197,                0.40521,                0.17708,                0.07682,                0.04234,                 2.3655,                 5.0983,                 3.1861,              0.0013102,              0.0013102,              0.0013102
                     45,                 0.6571,                0.55802,                 1.0514,                0.00942,                0.36458,                0.01214,                0.00435,                 2.6445,                 6.0835,                 3.3541,              0.0013073,              0.0013073,              0.0013073
                     46,                0.60071,                0.47649,                  1.017,                0.09197,                  0.125,                0.06763,                0.02695,                 2.2374,                 5.0447,                 2.8078,              0.0013045,              0.0013045,              0.0013045
                     47,                 0.5938,                0.49309,                 1.0225,                 0.1586,                0.14167,                 0.0975,                 0.0751,                 2.4425,                 5.2365,                 2.8899,              0.0013017,              0.0013017,              0.0013017
                     48,                0.68421,                0.52222,                 1.0382,                0.50269,                0.09167,                0.05945,                0.02452,                  2.746,                 6.0914,                 3.2547,              0.0012988,              0.0012988,              0.0012988
                     49,                0.64148,                0.52819,                 1.0537,                0.35393,                0.04167,                0.01243,                0.00552,                 3.0152,                  6.235,                 3.5331,               0.001296,               0.001296,               0.001296
                     50,                0.62183,                0.50803,                 1.0391,                0.04278,                0.10208,                 0.0153,                0.00511,                 3.1991,                 7.7895,                  4.396,              0.0012932,              0.0012932,              0.0012932
                     51,                0.60334,                0.49676,                 1.0632,                 0.5949,                0.10833,                0.07181,                0.03838,                 2.5338,                 7.0686,                 3.2998,              0.0012904,              0.0012904,              0.0012904
                     52,                0.58868,                0.50817,                 1.0502,                0.30777,                0.55417,                0.32895,                0.25637,                0.93764,                 3.7165,                 1.3907,              0.0012875,              0.0012875,              0.0012875
                     53,                0.58901,                0.47267,                 1.0222,                0.16198,                0.53125,                0.24366,                0.17786,                 1.1689,                 5.5257,                 1.7115,              0.0012847,              0.0012847,              0.0012847
                     54,                 0.5681,                0.46924,                 1.0161,                0.03867,                0.55208,                 0.0615,                0.05012,                0.98028,                 7.8201,                 1.4155,              0.0012819,              0.0012819,              0.0012819
                     55,                0.59765,                0.46119,                 1.0216,                0.67201,                0.04167,                0.00338,                  0.002,                 1.2649,                 10.421,                  1.699,               0.001279,               0.001279,               0.001279
                     56,                0.62407,                0.52169,                  1.056,                0.67018,                0.22896,                0.07543,                0.06072,                 1.0965,                 7.3244,                 1.6393,              0.0012762,              0.0012762,              0.0012762
                     57,                 0.5973,                0.48984,                 1.0483,                0.60098,                0.56332,                0.51268,                0.45659,                0.53557,                 2.5318,                 1.0061,              0.0012734,              0.0012734,              0.0012734
