                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.56968,                0.54352,                 1.0486,                0.93938,                0.73064,                0.86112,                0.71845,                0.53036,                0.65263,                  1.057,             0.00084961,             0.00084961,             0.00084961
                     36,                0.64055,                0.55675,                 1.0721,                0.64174,                0.82879,                0.91841,                0.73697,                0.51779,                0.74905,                 1.0358,             0.00084781,             0.00084781,             0.00084781
                     37,                0.58234,                0.56459,                 1.0338,                0.80353,                0.69156,                0.74793,                0.58558,                  0.624,                0.54535,                 1.1505,             0.00084601,             0.00084601,             0.00084601
                     38,                0.58808,                0.51573,                 1.0306,                0.88003,                0.78769,                0.90183,                0.71957,                0.62123,                0.48286,                 1.1566,             0.00084421,             0.00084421,             0.00084421
                     39,                0.57487,                0.50178,                 1.0084,                0.84963,                0.76667,                0.86185,                0.72079,                0.52319,                0.48714,                 1.0391,             0.00084241,             0.00084241,             0.00084241
                     40,                0.54746,                0.51829,                  1.027,                0.97392,                 0.5878,                0.74422,                0.59641,                0.53808,                0.53514,                 1.0523,             0.00084061,             0.00084061,             0.00084061
                     41,                0.53961,                0.51089,                 1.0053,                0.84005,                0.72333,                0.74343,                0.56119,                0.51924,                0.57747,                 1.0489,             0.00083881,             0.00083881,             0.00083881
                     42,                 0.5317,                0.50206,                0.99567,                0.73759,                0.79375,                0.65279,                 0.5402,                0.52427,                 0.6789,                 1.0466,             0.00083701,             0.00083701,             0.00083701
                     43,                0.57341,                0.49528,                 1.0054,                0.50586,                0.53885,                0.61653,                0.53032,                0.56288,                 1.0409,                 1.0567,             0.00083521,             0.00083521,             0.00083521
                     44,                0.56478,                 0.5037,                 1.0068,                0.53699,                0.60413,                0.65411,                0.58454,                 0.5389,                0.78109,                 1.0496,             0.00083341,             0.00083341,             0.00083341
                     45,                0.55221,                0.50822,                  1.022,                0.59495,                0.90083,                0.79716,                0.69743,                0.50807,                0.72768,                 1.0028,             0.00083161,             0.00083161,             0.00083161
                     46,                0.56354,                0.51935,                 1.0178,                0.69492,                0.84126,                0.87809,                0.73577,                0.52265,                 0.6525,                 1.0309,             0.00082981,             0.00082981,             0.00082981
                     47,                0.55679,                 0.4844,                0.98743,                0.66618,                 0.9111,                0.88388,                0.73932,                0.59958,                0.48633,                 1.1315,             0.00082801,             0.00082801,             0.00082801
                     48,                  0.591,                0.52399,                 1.0242,                0.89675,                0.77882,                0.90541,                0.73721,                0.53466,                0.49442,                 1.0616,             0.00082621,             0.00082621,             0.00082621
                     49,                0.55318,                0.51666,                 1.0013,                0.93753,                0.75813,                0.89745,                0.77708,                0.48778,                0.58311,                 1.0008,             0.00082441,             0.00082441,             0.00082441
                     50,                0.56021,                0.50836,                 1.0212,                0.62682,                0.93333,                0.89952,                0.77563,                0.50619,                0.92181,                 1.0185,             0.00082261,             0.00082261,             0.00082261
                     51,                0.55035,                0.47587,                 1.0143,                0.95078,                0.75617,                0.93685,                0.80027,                0.43852,                0.64041,                0.96122,             0.00082081,             0.00082081,             0.00082081
                     52,                0.56033,                0.47748,                0.98423,                0.68624,                 0.8465,                 0.8811,                0.77643,                0.46132,                0.42507,                0.99207,             0.00081901,             0.00081901,             0.00081901
                     53,                0.54716,                0.48016,                0.98803,                0.71706,                0.93096,                0.86927,                 0.7644,                 0.4599,                0.42155,                0.98657,             0.00081721,             0.00081721,             0.00081721
                     54,                0.52697,                0.48094,                0.99273,                0.66198,                 0.8923,                0.84944,                0.70721,                0.46088,                0.49873,                0.98639,             0.00081541,             0.00081541,             0.00081541
                     55,                0.51065,                0.46765,                0.98685,                0.69324,                    0.8,                0.88903,                 0.7355,                0.51431,                0.54127,                 1.0309,             0.00081361,             0.00081361,             0.00081361
                     56,                0.52962,                 0.4646,                0.98146,                0.72832,                0.66667,                0.63173,                0.52395,                0.71174,                0.61602,                 1.2037,             0.00081181,             0.00081181,             0.00081181
                     57,                0.53237,                0.53343,                 1.0133,                0.68958,                0.64611,                0.70705,                0.55181,                0.76325,                0.69978,                 1.2833,             0.00081001,             0.00081001,             0.00081001
                     58,                0.53387,                0.47548,                0.99816,                0.66392,                0.91244,                0.90127,                0.70115,                0.60926,                0.56177,                 1.1257,             0.00080821,             0.00080821,             0.00080821
                     59,                0.51216,                0.43103,                0.98769,                0.80493,                0.77234,                0.94083,                0.74434,                0.55831,                0.53555,                 1.0775,             0.00080641,             0.00080641,             0.00080641
                     60,                0.54145,                0.50097,                 1.0013,                0.68486,                0.58603,                0.70561,                0.59132,                0.60957,                0.84396,                 1.1178,             0.00080461,             0.00080461,             0.00080461
                     61,                0.53182,                0.43334,                0.98846,                0.69036,                0.75801,                 0.6576,                0.57949,                0.50218,                0.61752,                 1.0081,             0.00080281,             0.00080281,             0.00080281
                     62,                0.54504,                0.48477,                 1.0129,                0.82132,                0.75354,                0.79754,                0.65831,                0.50864,                0.51159,                 1.0136,             0.00080101,             0.00080101,             0.00080101
                     63,                 0.5241,                0.45254,                 1.0045,                0.91169,                0.78723,                0.85682,                0.69644,                0.59027,                0.51691,                 1.0862,             0.00079921,             0.00079921,             0.00079921
                     64,                0.56041,                0.49296,                 1.0214,                0.84299,                 0.9528,                  0.945,                0.85411,                0.43542,                0.53366,                0.95838,             0.00079741,             0.00079741,             0.00079741
                     65,                0.53798,                0.46587,                0.99613,                0.85392,                0.91551,                 0.9186,                0.83255,                0.50127,                0.51749,                 1.0248,             0.00079561,             0.00079561,             0.00079561
                     66,                0.55024,                0.45503,                 1.0039,                0.82322,                0.91272,                0.95052,                0.80558,                0.47618,                0.57142,                0.98726,             0.00079381,             0.00079381,             0.00079381
                     67,                0.52788,                0.43629,                0.98814,                0.96784,                0.79983,                0.97832,                0.82074,                0.44952,                0.56297,                0.96851,             0.00079201,             0.00079201,             0.00079201
                     68,                0.55235,                0.49824,                 1.0284,                0.90289,                0.87601,                0.92472,                0.78795,                0.42653,                0.47309,                 0.9422,             0.00079021,             0.00079021,             0.00079021
                     69,                0.53178,                0.47098,                 0.9974,                0.92724,                0.86667,                0.90403,                0.76102,                0.46787,                0.41358,                0.98821,             0.00078841,             0.00078841,             0.00078841
                     70,                0.54676,                0.43196,                0.98636,                0.89813,                0.86667,                0.90625,                0.76065,                0.44472,                0.37203,                 0.9649,             0.00078661,             0.00078661,             0.00078661
                     71,                 0.5359,                0.43694,                 1.0071,                0.81114,                0.93333,                0.89476,                0.79224,                0.47376,                0.37655,                0.99691,             0.00078481,             0.00078481,             0.00078481
                     72,                0.55413,                0.52866,                 0.9818,                0.70372,                0.59627,                0.67725,                0.56086,                0.65295,                 1.9543,                 1.1331,             0.00078301,             0.00078301,             0.00078301
                     73,                0.57823,                0.50322,                 1.0144,                0.61189,                0.81216,                0.66882,                0.55953,                0.56938,                 2.4261,                 1.0376,             0.00078121,             0.00078121,             0.00078121
                     74,                0.55736,                0.49327,                 1.0193,                0.70174,                0.92107,                0.83762,                0.74813,                0.50985,                0.47671,                 1.0163,             0.00077941,             0.00077941,             0.00077941
                     75,                0.51478,                0.41641,                0.98839,                0.93908,                0.91303,                0.96152,                 0.8698,                0.46886,                0.42329,                 0.9846,             0.00077761,             0.00077761,             0.00077761
                     76,                0.55737,                0.43477,                 1.0065,                0.66548,                0.79586,                0.78796,                0.69949,                0.48174,                0.64852,                0.99042,             0.00077581,             0.00077581,             0.00077581
                     77,                0.54037,                0.46789,                 1.0157,                0.63297,                0.74575,                0.72989,                0.64997,                0.44451,                0.86425,                0.96425,             0.00077401,             0.00077401,             0.00077401
                     78,                0.52739,                 0.4784,                0.99447,                0.73521,                0.88486,                0.80441,                0.73413,                0.45264,                0.59972,                 0.9728,             0.00077221,             0.00077221,             0.00077221
                     79,                0.52302,                0.42721,                 1.0016,                0.85338,                   0.98,                0.95906,                0.86544,                0.52553,                0.42075,                 1.0391,             0.00077041,             0.00077041,             0.00077041
                     80,                0.51735,                0.45149,                0.98699,                0.96552,                0.96228,                  0.995,                0.91594,                0.42995,                0.33921,                0.95081,             0.00076861,             0.00076861,             0.00076861
                     81,                0.51352,                0.44331,                0.97195,                0.96415,                0.91893,                0.94624,                0.86228,                0.43608,                0.35437,                0.94205,             0.00076681,             0.00076681,             0.00076681
                     82,                0.51669,                0.40639,                0.96286,                0.97303,                0.90295,                0.92738,                0.84684,                 0.4163,                0.41453,                0.92985,             0.00076501,             0.00076501,             0.00076501
                     83,                0.51855,                0.44484,                 1.0067,                 0.8882,                0.92522,                0.88472,                0.79433,                0.42256,                0.41129,                0.94732,             0.00076321,             0.00076321,             0.00076321
                     84,                0.54825,                  0.428,                 1.0104,                0.79314,                0.79054,                0.78242,                0.69871,                0.43936,                 0.4618,                 0.9621,             0.00076141,             0.00076141,             0.00076141
                     85,                0.50159,                0.42618,                0.98723,                0.79461,                0.71779,                0.81645,                0.72324,                0.43033,                0.59033,                0.95053,             0.00075961,             0.00075961,             0.00075961
                     86,                0.50514,                0.49323,                0.99148,                0.84384,                0.61995,                0.80263,                0.70242,                0.42481,                0.71782,                0.94038,             0.00075782,             0.00075782,             0.00075782
                     87,                0.51057,                0.42842,                 0.9763,                0.93977,                0.74376,                0.86851,                0.81381,                0.42857,                 0.5656,                0.95123,             0.00075602,             0.00075602,             0.00075602
                     88,                0.50712,                0.44362,                0.97976,                0.83028,                0.88131,                0.94076,                0.87335,                 0.4575,                0.40332,                0.96961,             0.00075422,             0.00075422,             0.00075422
                     89,                0.50763,                0.42855,                0.96577,                0.97201,                0.78755,                0.95655,                0.86991,                0.45842,                0.42117,                 0.9664,             0.00075242,             0.00075242,             0.00075242
                     90,                0.51233,                0.43817,                 0.9833,                0.64406,                0.91237,                0.86189,                0.78258,                 0.4471,                0.48712,                0.96216,             0.00075062,             0.00075062,             0.00075062
                     91,                0.48774,                0.38712,                0.95631,                0.66665,                0.85785,                0.77664,                0.70271,                0.44072,                0.57231,                0.95575,             0.00074882,             0.00074882,             0.00074882
                     92,                0.49051,                 0.4218,                0.98308,                 0.8945,                0.94906,                0.97784,                0.86751,                0.49032,                0.33003,                0.99377,             0.00074702,             0.00074702,             0.00074702
                     93,                0.49538,                0.42078,                 0.9977,                0.80142,                0.98608,                0.96057,                 0.8614,                0.44529,                0.29733,                0.95947,             0.00074522,             0.00074522,             0.00074522
                     94,                0.50955,                0.42113,                0.98241,                0.83439,                      1,                0.99167,                0.88908,                0.46522,                 0.2986,                0.97573,             0.00074342,             0.00074342,             0.00074342
                     95,                0.49084,                0.41005,                0.99331,                0.84553,                0.97911,                0.98881,                0.87738,                0.47077,                0.31437,                0.97849,             0.00074162,             0.00074162,             0.00074162
                     96,                0.50806,                0.41533,                0.99047,                0.89851,                      1,                0.99482,                0.91249,                0.47415,                0.28101,                0.98541,             0.00073982,             0.00073982,             0.00073982
                     97,                0.50327,                 0.4289,                0.97107,                0.83827,                0.96516,                0.96148,                0.89655,                0.46771,                0.28746,                0.97243,             0.00073802,             0.00073802,             0.00073802
                     98,                0.50491,                0.38191,                0.98211,                0.81795,                0.92709,                0.96148,                0.86163,                 0.4596,                0.31461,                0.95933,             0.00073622,             0.00073622,             0.00073622
                     99,                0.48332,                0.41432,                0.97617,                0.92457,                0.91147,                 0.9686,                0.85183,                0.49193,                0.34771,                0.99725,             0.00073442,             0.00073442,             0.00073442
                    100,                0.50887,                0.42685,                0.96572,                0.89585,                 0.8509,                0.93127,                0.86188,                0.46059,                0.34071,                0.97183,             0.00073262,             0.00073262,             0.00073262
                    101,                0.48991,                0.40094,                 0.9803,                0.95024,                0.86667,                0.92852,                0.83015,                0.42816,                0.30351,                 0.9415,             0.00073082,             0.00073082,             0.00073082
                    102,                 0.4766,                0.36399,                0.94761,                0.91448,                0.94979,                  0.995,                0.89602,                0.46362,                0.27446,                 0.9637,             0.00072902,             0.00072902,             0.00072902
                    103,                0.49323,                0.38463,                0.97056,                0.96161,                0.93202,                 0.9785,                0.87523,                0.46423,                0.28291,                0.97072,             0.00072722,             0.00072722,             0.00072722
                    104,                0.48227,                0.38055,                0.97904,                0.84683,                0.90166,                0.88938,                  0.804,                0.44774,                0.32142,                0.97109,             0.00072542,             0.00072542,             0.00072542
